2026-06-19 00:04:07 | STATIC_CANDIDATES: ["\/?controller=dashboard&action=adminHome",null,null,null] | STATIC_URI: /\n2026-06-19 08:20:45 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=dashboard&action=adminHome | GET: EMPTY
2026-06-19 08:20:45 | STATIC_CANDIDATES: ["\/?controller=dashboard&action=adminHome",null,null,null] | STATIC_URI: /\n2026-06-19 08:30:40 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=reports | GET: EMPTY
2026-06-19 08:30:40 | STATIC_CANDIDATES: ["\/?controller=admin&action=reports",null,null,null] | STATIC_URI: /\n2026-06-19 08:30:41 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=&audit_from=&audit_to=&audit_per_page=25&audit_page=1 | GET: EMPTY
2026-06-19 08:30:41 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=&audit_from=&audit_to=&audit_per_page=25&audit_page=1",null,null,null] | STATIC_URI: /index.php\n2026-06-19 08:33:07 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=auth&action=logout | GET: EMPTY
2026-06-19 08:33:07 | STATIC_CANDIDATES: ["\/?controller=auth&action=logout",null,null,null] | STATIC_URI: /\n2026-06-19 08:33:07 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=auth&action=login | GET: EMPTY
2026-06-19 08:33:07 | STATIC_CANDIDATES: ["\/index.php?controller=auth&action=login",null,null,null] | STATIC_URI: /index.php\n2026-06-19 08:33:58 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=auth&action=login | GET: EMPTY
2026-06-19 08:33:58 | STATIC_CANDIDATES: ["\/index.php?controller=auth&action=login",null,null,null] | STATIC_URI: /index.php\n2026-06-19 08:33:58 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=home | GET: EMPTY
2026-06-19 08:33:58 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=home",null,null,null] | STATIC_URI: /index.php\n2026-06-19 08:33:58 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=adminHome | GET: EMPTY
2026-06-19 08:33:58 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=adminHome",null,null,null] | STATIC_URI: /index.php\n2026-06-19 08:34:05 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listInventoryMovements | GET: EMPTY
2026-06-19 08:34:05 | STATIC_CANDIDATES: ["\/?controller=admin&action=listInventoryMovements",null,null,null] | STATIC_URI: /\n2026-06-19 08:34:45 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=inventoryRecountForm | GET: EMPTY
2026-06-19 08:34:45 | STATIC_CANDIDATES: ["\/?controller=admin&action=inventoryRecountForm",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:20 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listPurchases | GET: EMPTY
2026-06-19 08:35:20 | STATIC_CANDIDATES: ["\/?controller=admin&action=listPurchases",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:22 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listInventoryMovements | GET: EMPTY
2026-06-19 08:35:22 | STATIC_CANDIDATES: ["\/?controller=admin&action=listInventoryMovements",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:24 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=dashboard&action=adminHome | GET: EMPTY
2026-06-19 08:35:24 | STATIC_CANDIDATES: ["\/?controller=dashboard&action=adminHome",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:27 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listInventoryMovements | GET: EMPTY
2026-06-19 08:35:27 | STATIC_CANDIDATES: ["\/?controller=admin&action=listInventoryMovements",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:28 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=inventoryRecountForm | GET: EMPTY
2026-06-19 08:35:28 | STATIC_CANDIDATES: ["\/?controller=admin&action=inventoryRecountForm",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:30 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listPurchases | GET: EMPTY
2026-06-19 08:35:30 | STATIC_CANDIDATES: ["\/?controller=admin&action=listPurchases",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:34 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listWorkOrders | GET: EMPTY
2026-06-19 08:35:34 | STATIC_CANDIDATES: ["\/?controller=admin&action=listWorkOrders",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:35 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=lowStockAlerts | GET: EMPTY
2026-06-19 08:35:35 | STATIC_CANDIDATES: ["\/?controller=admin&action=lowStockAlerts",null,null,null] | STATIC_URI: /\n2026-06-19 08:35:57 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listProducts | GET: EMPTY
2026-06-19 08:35:57 | STATIC_CANDIDATES: ["\/?controller=admin&action=listProducts",null,null,null] | STATIC_URI: /\n2026-06-19 09:39:42 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listProducts | GET: EMPTY
2026-06-19 09:39:42 | STATIC_CANDIDATES: ["\/?controller=admin&action=listProducts",null,null,null] | STATIC_URI: /\n2026-06-19 10:07:47 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=auth&action=logout | GET: EMPTY
2026-06-19 10:07:47 | STATIC_CANDIDATES: ["\/?controller=auth&action=logout",null,null,null] | STATIC_URI: /\n2026-06-19 10:07:48 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=auth&action=login | GET: EMPTY
2026-06-19 10:07:48 | STATIC_CANDIDATES: ["\/index.php?controller=auth&action=login",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:07:54 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=auth&action=login | GET: EMPTY
2026-06-19 10:07:54 | STATIC_CANDIDATES: ["\/index.php?controller=auth&action=login",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:07:54 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=home | GET: EMPTY
2026-06-19 10:07:54 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=home",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:07:54 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=adminHome | GET: EMPTY
2026-06-19 10:07:54 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=adminHome",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:08:00 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=reports | GET: EMPTY
2026-06-19 10:08:00 | STATIC_CANDIDATES: ["\/?controller=admin&action=reports",null,null,null] | STATIC_URI: /\n2026-06-19 10:08:00 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=&audit_from=&audit_to=&audit_per_page=25&audit_page=1 | GET: EMPTY
2026-06-19 10:08:00 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=&audit_from=&audit_to=&audit_per_page=25&audit_page=1",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:08:01 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=exportCurrentInventoryCsv | GET: EMPTY
2026-06-19 10:08:01 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=exportCurrentInventoryCsv",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:08:04 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=exportMovementsCsv&start_date=&end_date=&product_id=&movement_type= | GET: EMPTY
2026-06-19 10:08:04 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=exportMovementsCsv&start_date=&end_date=&product_id=&movement_type=",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:08:22 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=exportSalesCsv&start_date=&end_date= | GET: EMPTY
2026-06-19 10:08:22 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=exportSalesCsv&start_date=&end_date=",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:08:37 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=create&audit_from=&audit_to=&audit_per_page=25&audit_page=1 | GET: EMPTY
2026-06-19 10:08:37 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=create&audit_from=&audit_to=&audit_per_page=25&audit_page=1",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:08:39 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=create&audit_from=&audit_to=&audit_per_page=25&audit_page=1 | GET: EMPTY
2026-06-19 10:08:39 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=create&audit_from=&audit_to=&audit_per_page=25&audit_page=1",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:08:47 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=delete&audit_from=&audit_to=&audit_per_page=25&audit_page=1 | GET: EMPTY
2026-06-19 10:08:47 | STATIC_CANDIDATES: ["\/index.php?controller=dashboard&action=auditPartial&audit_user=&audit_action=delete&audit_from=&audit_to=&audit_per_page=25&audit_page=1",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:08:57 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listEmployees | GET: EMPTY
2026-06-19 10:08:57 | STATIC_CANDIDATES: ["\/?controller=admin&action=listEmployees",null,null,null] | STATIC_URI: /\n2026-06-19 10:08:59 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=addEmployeeForm | GET: EMPTY
2026-06-19 10:08:59 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=addEmployeeForm",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:09:22 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=storeEmployee | GET: EMPTY
2026-06-19 10:09:22 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=storeEmployee",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:09:22 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=listEmployees | GET: EMPTY
2026-06-19 10:09:22 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=listEmployees",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:09:29 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=deleteEmployee&id=22 | GET: EMPTY
2026-06-19 10:09:29 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=deleteEmployee&id=22",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:09:29 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=listEmployees | GET: EMPTY
2026-06-19 10:09:29 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=listEmployees",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:09:32 | REDIRECT_URL: NOT SET | REQUEST_URI: /?controller=admin&action=listSalesAdmin | GET: EMPTY
2026-06-19 10:09:32 | STATIC_CANDIDATES: ["\/?controller=admin&action=listSalesAdmin",null,null,null] | STATIC_URI: /\n2026-06-19 10:09:35 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=addSaleAdminForm | GET: EMPTY
2026-06-19 10:09:35 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=addSaleAdminForm",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:10:03 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=storeSaleAdmin | GET: EMPTY
2026-06-19 10:10:03 | STATIC_CANDIDATES: ["\/index.php?controller=admin&action=storeSaleAdmin",null,null,null] | STATIC_URI: /index.php\n2026-06-19 10:10:04 | REDIRECT_URL: NOT SET | REQUEST_URI: /index.php?controller=admin&action=listSalesAdmin&created_sale_id=43 | GET: EMPTY
